key_point_id,evidence_id,evidence,topic,source,argument,stance,label
kp_0_4,evi_0_30,"The patient must be an adult and in a 'futile medical condition of constant and unbearable physical or mental suffering that cannot be alleviated'. The patient must have a long-term history with the doctor, with euthanasia/physician-assisted suicide only allowed for permanent residents.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide allows people to solicit someone to die to their own benefit,1.0,1.0
kp_0_0,evi_0_6,"The campaign group Dignity in Dying, of which Baroness Meacher is chair, has argued that current law contains no safeguards to protect dying people who want to control their death. It states that around 350 Britons have now travelled to Switzerland to end their life, at a cost of around £10,000 each. Dignity in Dying argues that many of these people travel before they are ready to die, because they are afraid of becoming too weak to make the journey. In theory, those that accompany them could face up to 14 years imprisonment.",Assisted suicide should be a criminal offence,https://lordslibrary.parliament.uk/assisted-dying-bill-hl/,Assisted suicide gives dignity to the person that wants to commit it,-1.0,1.0
kp_0_1,evi_0_11,"It states that euthanasia and physician-assisted suicide are not punishable if the attending physician acts in accordance with criteria of due care. These criteria concern the patient's request, the patient's suffering (unbearable and hopeless), the information provided to the patient, the absence of reasonable alternatives, consultation of another physician and the applied method of ending life.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide reduces suffering,-1.0,1.0
kp_0_6,evi_0_40,"Physician-assisted suicide and euthanasia should not be performed simply because a patient is depressed, tired of life, worried about being a burden, or worried about being dependent. All these may be signs that not every effort has yet been made.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide should not be allowed because many times people can still get better,1.0,1.0
kp_0_7,evi_0_49,"Dr. Lynda Young, MD, stated her opposition when she said, 'Physician-assisted suicide is fundamentally incompatible with the physician's role as healer.'",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide violates the doctor's role,1.0,1.0
kp_0_8,evi_0_63,The New Zealand Medical Association oppose voluntary euthanasia and doctor assisted suicide maintaining that it is unethical regardless of whether the patient or relatives wishes to have it carried out.,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People do not have the right to self-harm/harm others,1.0,1.0
kp_0_2,evi_0_21,"The plaintiffs believe that every Canadian should have the choice to have what they consider to be a good death, including the option of a medically assisted death for seriously and incurably ill, mentally competent adults.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People should have the freedom to choose to end their life,-1.0,1.0
kp_0_9,evi_0_66,"As Emanuel said, 'The Netherlands studies fail to demonstrate that permitting physician-assisted suicide and euthanasia will not lead to the nonvoluntary euthanasia of children, the demented, the mentally ill, the old, and others.'",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People who are ill do not have clear judgement and are in need of help,1.0,1.0
kp_0_3,evi_0_28,"In response, autonomy and quality-of-life-base arguments are made in support of euthanasia, underscored by claims that when the only way to relieve a dying patient's pain or suffering is terminal sedation with loss of consciousness, death is a preferable alternative - an argument also made in support of physician-assisted suicide.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,The terminally ill would benefit from assisted suicide,-1.0,1.0
kp_1_0,evi_1_2,"Gallup polls of American voters have shown a significant change in attitude in the last twenty years, from 73% opposed to home education in 1985 to 54% opposed in 2001.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Homeschooling,Homeschooling is often the best option for catering for the needs of exceptional/religious/ill/disabled students.,-1.0,1.0
kp_1_1,evi_1_11,"According to recent research, mainstream schools are failing to meet the requirements of pupils with special educational needs (SEN). Indeed, unhappiness at school is the reason why many parents decide to home educate their children.",Homeschooling should be banned,https://www.theschoolrun.com/home-educating-child-special-educational-needs,Homeschools can be personalized to the child's pace/needs,-1.0,1.0
kp_1_8,evi_1_53,"I'm fine with homeschooling, if parents can do it. But that's a big 'if', and there has got to be regulation to ensure that children aren't being abused. Public school is a lot more than just an educational opportunity; it's the single most important social safety net we have in America, because it exists for the most vulnerable section of our population: children. A lot of child abuse cases are detected because teachers noticed suspicious marks on a child. Far more children than any of us would like to believe only get adequate nutrition because of free or reduced price breakfast and lunch at school. School is also the number one reason why parents get their kids vaccinated, because it's usually required for entry; if nothing requires it, it's too easy to just put it off.",Homeschooling should be banned,https://scienceblogs.com/denialism/2012/03/15/homeschooling-needs-either-tig,Homeschools cannot be regulated/standardized,1.0,1.0
kp_1_6,evi_1_43,"Homeschooling opponents, such as Harvard Law School professor Elizabeth Bartholet, argue for bans on homeschooling, saying it’s “important that children grow up exposed to community values, social values, democratic values, ideas about nondiscrimination and tolerance of other people’s viewpoints.",Homeschooling should be banned,https://www.cato.org/blog/case-against-homeschool-regulation,Mainstream schools are essential to develop social skills,1.0,1.0
kp_1_9,evi_1_58,Teachers are public schools are required to carry education degrees and they may have more experience working with and teaching children. Teaching a child is different from parenting a child and many parents struggle to do both.,Homeschooling should be banned,https://www.publicschoolreview.com/blog/what-are-the-benefits-of-public-school-over-homeschooling,Mainstream schools are of higher educational quality,1.0,1.0
kp_1_2,evi_1_16,"In 1980, Holt said, 'I want to make it clear that I don't see homeschooling as some kind of answer to badness of schools.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Homeschooling,Mainstream schools have a lot of violence/bullying,-1.0,1.0
kp_1_7,evi_1_47,"By homeschooling, you are making it your responsibility to meet all your child’s educational needs. You have to be able to deliver the depth and breadth of learning that they require in order to meet their potential. This takes time and energy, even if you’re hiring tutors for some lessons; you will still need to ensure that they’re teaching effectively, and that they are suitable to have access to children. As part of this, you will need to take up references, and check that they have a DBS certificate. Homeschooling also involves preparing the child for any exams that they will sit, and taking them to external examination centres to sit them. This requires a lot of extra work, and examination centres might be far away from your home.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Homeschooling,Parents are not qualified as teachers,1.0,1.0
kp_1_3,evi_1_23,Home education is favored by a growing number of parents who take direct responsibility for their children's education rather than enrolling them in local public schools seen as not meeting expectations.,Homeschooling should be banned,https://en.wikipedia.org/wiki/Education_reform,Parents should be permitted to choose the education of their children,-1.0,1.0
kp_1_5,evi_1_36,"Theywant to see their children enjoy a broader socialization than a typical classroom allows and to give theirchildren “a more active learning environment, with provision of real opportunities to structure their owndays",Homeschooling should be banned,https://www.ascd.org/el/articles/customization-through-homeschooling,The home is a good learning environment,-1.0,1.0
kp_2_0,evi_2_6,"Advocates see clerical celibacy as a special gift of God by which sacred ministers can more easily remain close to Christ with an undivided heart, and can dedicate themselves more freely to the service of God and their neighbour.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy allows a priest to focus on God,-1.0,1.0
kp_2_1,evi_2_12,"Later, when the secular clergy was recruited largely from among married men, this custom became almost universal, for, as the episcopal office could not be conferred upon men who were married, it developed, in a way, into a privilege of the religious who had taken the vow of celibacy.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy is a strong religious belief,-1.0,1.0
kp_2_6,evi_2_49,Lakeland believes that Clerical celibacy should become optional and that change is inevitable.,The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy is outdated,1.0,1.0
kp_2_7,evi_2_54,"Forcing priests to suppress their urges or hide their sexual behaviour has warped people, believes Elizabeth Abbott, author of A History of Celibacy: For thousands of years it's failed. It brings out horrible things.",The vow of celibacy should be abandoned,https://www.bbc.co.uk/news/magazine-21654663,Celibacy is too pressuring/diffcult,1.0,1.0
kp_2_8,evi_2_59,Celibacy is an unnatural act in nature. All living organisms are meant to reproduce. The sexual act is critical for the survival of the species.,The vow of celibacy should be abandoned,https://devdutt.com/articles/is-celibacy-unnatural-or-supernatural/,Celibacy is unhealthy/unnatural,1.0,1.0
kp_2_9,evi_2_65,"In the wake of the clergy sexual abuse scandals, some critics have charged that priestly celibacy was a contributing factor",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy leads to wrong sexual behaviour,1.0,1.0
kp_2_2,evi_2_16,"In 387 or 390, or according to others in 400, a Council of Carthage decreed that bishops, priests and deacons abstain from conjugal relations: It is fitting that the holy bishops and priests of God as well as the Levites, i.e. those who are in the service of the divine sacraments, observe perfect continence, so that they may obtain in all simplicity what they are asking from God; what the Apostles taught and what antiquity itself observed, let us also endeavour to keep.. It pleases us all that bishop, priest and deacon, guardians of purity, abstain from conjugal intercourse with their wives, so that those who serve at the altar may keep a perfect chastity.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy makes the priests to be perceived as holy,-1.0,1.0
kp_2_10,evi_2_69,"In this correspondence, Gerard complained that some of the York canons refused to be ordained as priests, thereby hoping to avoid taking the vow of celibacy.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy reduces the pool of people wanting to become priests,1.0,1.0
kp_2_3,evi_2_22,"Philippe Delhaye wrote: During the first three or four centuries, no law was promulgated prohibiting clerical marriage. Celibacy was a matter of choice for bishops, priests, and deacons... The apostolic constitutions (c. 400) excommunicated a priest or bishop who left his wife 'under pretense of piety' (Sacrorum Conciliorum nova et amplissima collectio 1:51).",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Priests choose to be celibates,-1.0,1.0
kp_2_4,evi_2_30,"Siricius was emphatic that clerical continence belonged to immemorial, even apostolic, tradition. He declared that priests had been under a duty to observe temporary continence when serving in the Temple, but that the coming of Christ had brought the old priesthood to completion, and by this fact the duty of temporary continence had become an obligation to perpetual continence.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Religious experiences and traditions should be maintained,-1.0,1.0
