key_point_id_1,key_point_id_2,evidence_id_1,evidence_id_2,evidence_1,evidence_2,topic,source_1,source_2,argument,stance_1,stance_2,label_1,label_2
kp_0_0,kp_0_0,evi_0_6,evi_0_3,"Rotashield, a vaccine for rotavirus (RV), was pulled from the market by the manufacturer nine months after it was introduced after it was discovered that the vaccine might have contributed to higher instances of intussusception (bowel obstruction).","The CDC reports that pneumonia can be caused by the chickenpox vaccine, and a “small possibility” exists that the flu vaccine could be associated with Guillain-Barré Syndrome, a disorder in which the person’s immune system attacks parts of the peripheral nervous system, in about one or two per million people vaccinated.",Routine child vaccinations should be mandatory,https://vaccines.procon.org/,https://vaccines.procon.org/,"Routine child vaccinations, or their side effects, are dangerous",-1.0,-1.0,1.0,1.0
kp_1_0,kp_1_0,evi_1_7,evi_1_6,"Lack of enforcement of the European Union’s data privacy law, the General Data Protection Regulation, or G.D.P.R., has also cast a shadow over the new laws.","Like the Digital Services Act and Digital Markets Act, G.D.P.R. was hailed as landmark legislation. But since it took effect in 2018, there has been little action against Facebook, Google and others over their data-collection practices.",Social media platforms should be regulated by the government,https://www.nytimes.com/2022/04/22/technology/european-union-social-media-law.html,https://www.nytimes.com/2022/04/22/technology/european-union-social-media-law.html,Social media regulation is not effective,-1.0,-1.0,1.0,1.0
kp_2_0,kp_2_0,evi_2_13,evi_2_12,"In 2007, 8.1 million children under 18 years old were without health insurance. Children in poverty and Hispanic children were more likely to be uninsured.","Adults in households with annual incomes under $40,000 are more than three times as likely as adults in households with incomes over $90,000 to say it is difficult to afford their health care costs (69% v. 21%).",The USA is a good country to live in,https://inequality.stanford.edu/publications/20-facts-about-us-inequality-everyone-should-know,https://www.kff.org/health-costs/issue-brief/americans-challenges-with-health-care-costs/,The US has unfair health and education policies,-1.0,-1.0,1.0,1.0
kp_1_1,kp_1_1,evi_1_13,evi_1_12,"Most also feel they have little or no control over how these entities use their personal information, according to a new survey of U.S. adults by Pew Research Center that explores how Americans feel about the state of privacy in the nation.","Some 81% of the public say that the potential risks they face because of data collection by companies outweigh the benefits, and 66% say the same about government data collection.",Social media platforms should be regulated by the government,https://www.pewresearch.org/internet/2019/11/15/americans-and-privacy-concerned-confused-and-feeling-lack-of-control-over-their-personal-information/,https://www.pewresearch.org/internet/2019/11/15/americans-and-privacy-concerned-confused-and-feeling-lack-of-control-over-their-personal-information/,Social media regulation harms privacy,-1.0,-1.0,1.0,1.0
kp_0_1,kp_0_1,evi_0_12,evi_0_7,"Compulsory vaccination is an interference with the human right of bodily integrity, which is a part of the right to private life enshrined in the Universal Declaration of Human Rights as well as in the European Convention on Human Rights.","The First Amendment of the US Constitution states, 'Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof.'",Routine child vaccinations should be mandatory,https://theconversation.com/compulsory-vaccination-what-does-human-rights-law-say-167735,https://vaccines.procon.org/,Mandatory vaccination contradicts basic rights,-1.0,-1.0,1.0,1.0
kp_1_2,kp_1_2,evi_1_18,evi_1_17,"Reuters reported last year that Facebook had committed to restrict significantly more Vietnamese content after Vietnam passed a cybersecurity law in 2018, and Amnesty International documented some of the impact on activists and journalists. CPJ noted that the law’s vague prohibitions on posts that would offend leaders, distort history, or cause confusion were a clear threat to press freedom.","For Peggy Hicks, Director of Thematic Engagement for UN Human Rights, nearly every country that has adopted laws relating to online content has jeopardised human rights in doing so.",Social media platforms should be regulated by the government,https://cpj.org/2022/01/social-media-regulation-affect-press/,https://www.ohchr.org/en/stories/2021/07/moderating-online-content-fighting-harm-or-silencing-dissent,Social media regulation harm freedom of speech and other democratic rights,-1.0,-1.0,1.0,1.0
kp_0_4,kp_0_4,evi_0_27,evi_0_26,"After introduction of the pneumococcal conjugate vaccine in 2000, several studies described a decrease in invasive pneumococcal disease in the United States. One year after its introduction, a group of investigators found a 69% drop in the rate of invasive disease in those of less than two years of age.","According to UNICEF, there were 500 cases of polio in 2014 worldwide (appearing only in three countries: Afghanistan, Nigeria, and Pakistan), down from 350,000 cases in 1988, thanks to vaccination programs",Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Pneumococcal_conjugate_vaccine,https://vaccines.procon.org/,Routine child vaccinations are effective,1.0,1.0,1.0,1.0
kp_1_3,kp_1_3,evi_1_21,evi_1_20,"In the U.S., debate grew heated regarding government intervention in the market system, as intervention can cause disruptions, including extending a recession or depression, as the market has a tendency to adjust naturally equalising inadequacies.","When governments spend on public goods and merit goods, they may create excess bureaucracy and inefficiency.",Social media platforms should be regulated by the government,https://www.ehow.co.uk/info_8646461_advantages-disadvantages-government-intervention.html,https://www.economicshelp.org/blog/5735/economics/should-the-government-intervene-in-the-economy/,The government should not intervene in the affairs of a private company,-1.0,-1.0,1.0,1.0
kp_0_5,kp_0_5,evi_0_34,evi_0_33,The measles vaccine has decreased childhood deaths from measles by 74%.,"The Centers for Disease Control (CDC) estimated that childhood immunization prevented about 419 million illnesses, 26.8 million hospitalizations, and 936,000 early deaths of children born between 1994 and 2018.",Routine child vaccinations should be mandatory,https://vaccines.procon.org/,https://vaccines.procon.org/,Child vaccination saves lives,1.0,1.0,1.0,1.0
kp_1_4,kp_1_4,evi_1_29,evi_1_28,"We have seen political advertisements targeting minority communities during the 2016 election in the United States and in the United Kingdom to suppress voting and political participation. Ultimately, dark advertisements polarise voters, lower trust in institutions, and degrade the quality of our democracy.","Around the US 2016 election, Russian entities set up and promoted fake Pages on Facebook to influence public sentiment — essentially using social media as an information weapon.",Social media platforms should be regulated by the government,https://www.carter-ruck.com/insight/fakes-news-authentic-views/responding-to-fake-news-through-regulation-and-automation/,https://about.fb.com/news/2018/01/effect-social-media-democracy/,Social media regulation can lead to political abuses by the government,-1.0,-1.0,1.0,1.0
