key_point_id_1,key_point_id_2,evidence_id_1,evidence_id_2,evidence_1,evidence_2,topic,source_1,source_2,argument,stance_1,stance_2,label_1,label_2
kp_0_0,kp_0_0,evi_0_6,evi_0_5,"The campaign group Dignity in Dying, of which Baroness Meacher is chair, has argued that current law contains no safeguards to protect dying people who want to control their death. It states that around 350 Britons have now travelled to Switzerland to end their life, at a cost of around £10,000 each. Dignity in Dying argues that many of these people travel before they are ready to die, because they are afraid of becoming too weak to make the journey. In theory, those that accompany them could face up to 14 years imprisonment.","Writing in 2005 about another bill on the topic introduced by Lord Joffe, the House of Lords Assisted Dying for the Terminally Ill Bill Committee summarised the debate in this way: The [Joffe] bill is founded on the principle of personal autonomy. Its supporters believe that terminally ill people should have the right, subject to prescribed safeguards, to have medical assistance to die in the same way that patients, whether or not terminally ill, already have the right to refuse life-prolonging treatment.",Assisted suicide should be a criminal offence,https://lordslibrary.parliament.uk/assisted-dying-bill-hl/,https://lordslibrary.parliament.uk/assisted-dying-bill-hl/,Assisted suicide gives dignity to the person that wants to commit it,-1.0,-1.0,1.0,1.0
kp_0_1,kp_0_1,evi_0_11,evi_0_12,"It states that euthanasia and physician-assisted suicide are not punishable if the attending physician acts in accordance with criteria of due care. These criteria concern the patient's request, the patient's suffering (unbearable and hopeless), the information provided to the patient, the absence of reasonable alternatives, consultation of another physician and the applied method of ending life.","Indeed, studies from parts of the world that have legalised assisted suicide report that many plans put in place for an early death are not taken up as people end up dying naturally, with the peace of mind brought about by knowing that an assisted death was available if pain and suffering had got too much.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide reduces suffering,-1.0,-1.0,1.0,1.0
kp_0_7,kp_0_7,evi_0_49,evi_0_47,"Dr. Lynda Young, MD, stated her opposition when she said, 'Physician-assisted suicide is fundamentally incompatible with the physician's role as healer.'","The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide violates the doctor's role,1.0,1.0,1.0,1.0
kp_0_8,kp_0_8,evi_0_63,evi_0_61,The New Zealand Medical Association oppose voluntary euthanasia and doctor assisted suicide maintaining that it is unethical regardless of whether the patient or relatives wishes to have it carried out.,Any person found to be assisting suicide is breaking the law and can be convicted of assisting suicide or attempting to do so.,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People do not have the right to self-harm/harm others,1.0,1.0,1.0,1.0
kp_0_2,kp_0_2,evi_0_21,evi_0_19,"The plaintiffs believe that every Canadian should have the choice to have what they consider to be a good death, including the option of a medically assisted death for seriously and incurably ill, mentally competent adults.",Dignity in Dying argue that if a person does not wish to take advantage of a change in the law which would allow for an assisted death then that is down to personal choice.,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People should have the freedom to choose to end their life,-1.0,-1.0,1.0,1.0
kp_0_9,kp_0_9,evi_0_66,evi_0_33,"As Emanuel said, 'The Netherlands studies fail to demonstrate that permitting physician-assisted suicide and euthanasia will not lead to the nonvoluntary euthanasia of children, the demented, the mentally ill, the old, and others.'","As applied to the euthanasia debate, the slippery slope argument claims that the acceptance of certain practices, such as physician-assisted suicide or voluntary euthanasia, will invariably lead to the acceptance or practice of concepts which are currently deemed unacceptable, such as non-voluntary or involuntary euthanasia.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People who are ill do not have clear judgement and are in need of help,1.0,1.0,1.0,1.0
kp_0_3,kp_0_3,evi_0_28,evi_0_26,"In response, autonomy and quality-of-life-base arguments are made in support of euthanasia, underscored by claims that when the only way to relieve a dying patient's pain or suffering is terminal sedation with loss of consciousness, death is a preferable alternative - an argument also made in support of physician-assisted suicide.","Drawing on the various ethical, medical and legal considerations as well as on the experiences of the Netherlands, Belgium, Switzerland and Oregon, he argues that on some occasions not only passive euthanasia may be allowed but also physician-assisted suicide.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,The terminally ill would benefit from assisted suicide,-1.0,-1.0,1.0,1.0
kp_1_0,kp_1_0,evi_1_2,evi_1_4,"Gallup polls of American voters have shown a significant change in attitude in the last twenty years, from 73% opposed to home education in 1985 to 54% opposed in 2001.","Homeschooling can be an option for families living in isolated rural locations, living temporarily abroad, and to allow for more traveling; also many young athletes and actors are taught at home.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Homeschooling,https://en.wikipedia.org/wiki/Homeschooling,Homeschooling is often the best option for catering for the needs of exceptional/religious/ill/disabled students.,-1.0,-1.0,1.0,1.0
kp_1_1,kp_1_1,evi_1_11,evi_1_13,"According to recent research, mainstream schools are failing to meet the requirements of pupils with special educational needs (SEN). Indeed, unhappiness at school is the reason why many parents decide to home educate their children.","Nelson said: One key benefit is the fact that, if you homeschool, you can personalise the education that your child receives according to their interests, needs, ability, and learning style. This might include spending more time outside doing physical exercise, letting them learn more about a subject that’s piqued their interest, or giving them the day off if they’re ill. When education is personalised, children are more engaged. It also allows them to discover their aptitudes and develop as people",Homeschooling should be banned,https://www.theschoolrun.com/home-educating-child-special-educational-needs,https://www.highspeedtraining.co.uk/hub/the-homeschooling-debate/,Homeschools can be personalized to the child's pace/needs,-1.0,-1.0,1.0,1.0
kp_1_8,kp_1_8,evi_1_53,evi_1_54,"I'm fine with homeschooling, if parents can do it. But that's a big 'if', and there has got to be regulation to ensure that children aren't being abused. Public school is a lot more than just an educational opportunity; it's the single most important social safety net we have in America, because it exists for the most vulnerable section of our population: children. A lot of child abuse cases are detected because teachers noticed suspicious marks on a child. Far more children than any of us would like to believe only get adequate nutrition because of free or reduced price breakfast and lunch at school. School is also the number one reason why parents get their kids vaccinated, because it's usually required for entry; if nothing requires it, it's too easy to just put it off.","Yes, as Calli Arcale and I both have said, homeschooling can be done effectively. However, without oversight, without someone looking in on these kids a few times for the 18 years they're under their parents thumb, the potential for abuse is there. And look, sure enough, abuse. What percentage of kids are abused this way? Who knows? What level would be acceptable? I would suggest zero-tolerance. If even 1% of households are homeschooling with the goal of restricting their children's options, and leaving them functionally illiterate so they're easier to be controlled by their husbands, or parents, than we might be looking at as many as 15-20,000 kids being denied an education. Kids that could be getting that education around the corner in their public school.",Homeschooling should be banned,https://scienceblogs.com/denialism/2012/03/15/homeschooling-needs-either-tig,https://scienceblogs.com/denialism/2012/03/15/homeschooling-needs-either-tig,Homeschools cannot be regulated/standardized,1.0,1.0,1.0,1.0
