key_point_id,evidence_id_1,evidence_id_2,evidence_id_3,evidence_id_4,evidence_id_5,evidence_1,evidence_2,evidence_3,evidence_4,evidence_5,topic,source_1,source_2,source_3,source_4,source_5,argument,stance,label
kp_0_0,evi_0_3,evi_0_6,,,,"The CDC reports that pneumonia can be caused by the chickenpox vaccine, and a “small possibility” exists that the flu vaccine could be associated with Guillain-Barré Syndrome, a disorder in which the person’s immune system attacks parts of the peripheral nervous system, in about one or two per million people vaccinated.","Rotashield, a vaccine for rotavirus (RV), was pulled from the market by the manufacturer nine months after it was introduced after it was discovered that the vaccine might have contributed to higher instances of intussusception (bowel obstruction).",,,,Routine child vaccinations should be mandatory,https://vaccines.procon.org/,https://vaccines.procon.org/,,,,"Routine child vaccinations, or their side effects, are dangerous",-1.0,1.0
kp_1_0,evi_1_0,evi_1_1,evi_1_3,evi_1_5,evi_1_6,"The groups wrote that, 'The FTC’s failure to enforce its order has resulted in the unlawful transfer of [87] million user records … [i]t is unconscionable that the FTC allowed this unprecedented disclosure of Americans’ personal data to occur. The FTC’s failure to act imperils not only privacy but democracy as well.'","TikTok paid a $5.7 million fine for violating the children’s privacy law in 2019. Nevertheless, TikTok failed to delete personal information previously collected from children and was still collecting kids’ personal information without notice to and consent of parents.","Another California legislation, Senate Bill No. 1001, was signed into law last September and will go into effect in July. It purports to address the role of bots in fake news and advertising. But the law’s definition of “bot” is too broad, and the method it uses is a poor match for the goal it seeks to accomplish.","Legislation has a noticeable gap failing to hold the platform companies accountable for their management in data privacy, and calls to arms by legislators typically come after an identified breach yet quickly lose momentum.","Like the Digital Services Act and Digital Markets Act, G.D.P.R. was hailed as landmark legislation. But since it took effect in 2018, there has been little action against Facebook, Google and others over their data-collection practices.",Social media platforms should be regulated by the government,https://epic.org/issues/consumer-privacy/social-media-privacy/,https://epic.org/issues/consumer-privacy/social-media-privacy/,https://www.thenewatlantis.com/publications/how-not-to-regulate-social-media,https://ilr.law.uiowa.edu/print/volume-107-issue-1/socially-private-striking-a-balance-between-social-media-and-data-privacy/,https://www.nytimes.com/2022/04/22/technology/european-union-social-media-law.html,Social media regulation is not effective,-1.0,1.0
kp_2_0,evi_2_1,evi_2_2,evi_2_9,evi_2_10,evi_2_11,"In another study, it was found that white teachers were more likely to give constructive feedback on essays if they believed the student who wrote it was white. Essays perceived to be written by Black or Latino students were given more praise and less guidance on how to improve their writing.","A range of scholars from at least the late 19th century to the present have produced arguments that white supremacy exists in U.S. school curriculum, oftentimes to the detriment of non-White students Americans' learning outcomes and the whole of American society.","About a quarter of adults say they or family member in their household have not filled a prescription, cut pills in half, or skipped doses of medicine in the last year because of the cost, with larger shares of those in households with lower incomes, Black and Hispanic adults, and women reporting this.","Among those under age 65, uninsured adults are much more likely to say affording health care costs is difficult (85%) compared to those with health insurance coverage (47%).","Additionally, at least six in ten Black adults (60%) and Hispanic adults (65%) report difficulty affording health care costs compared to about four in ten White adults (39%).",The USA is a good country to live in,https://en.wikipedia.org/wiki/Educational_inequality_in_the_United_States,https://en.wikipedia.org/wiki/Educational_inequality_in_the_United_States,https://www.kff.org/health-costs/issue-brief/americans-challenges-with-health-care-costs/,https://www.kff.org/health-costs/issue-brief/americans-challenges-with-health-care-costs/,https://www.kff.org/health-costs/issue-brief/americans-challenges-with-health-care-costs/,The US has unfair health and education policies,-1.0,1.0
kp_1_1,evi_1_8,evi_1_9,evi_1_10,evi_1_12,evi_1_13,"Government use of SMMS or 'Social media monitoring software can be used to geographically track us as we communicate. It can chart out our relationships, networks, and associations. It can monitor protests, identify the leaders of political and social movements, and measure our influence.'","On October 18, 2017, the Department of Homeland Security (DHS) was scheduled to begin using personal information collected using social media platforms to screen immigrants arriving in the U.S. The department made this new measure known in a posting to the Federal Register in September 2017, noting that '...social media handles, aliases, associated identifiable information and search results...' would be included in an applicant's immigration file. This announcement, which was made relatively quietly, has received criticism from privacy advocates.","Intervening with or removing content affects the rights to freedom of expression and privacy, and can easily lead to censorship.","Some 81% of the public say that the potential risks they face because of data collection by companies outweigh the benefits, and 66% say the same about government data collection.","Most also feel they have little or no control over how these entities use their personal information, according to a new survey of U.S. adults by Pew Research Center that explores how Americans feel about the state of privacy in the nation.",Social media platforms should be regulated by the government,https://en.wikipedia.org/wiki/Privacy_concerns_with_social_networking_services,https://en.wikipedia.org/wiki/Privacy_concerns_with_social_networking_services,https://www.ohchr.org/en/stories/2021/07/moderating-online-content-fighting-harm-or-silencing-dissent,https://www.pewresearch.org/internet/2019/11/15/americans-and-privacy-concerned-confused-and-feeling-lack-of-control-over-their-personal-information/,https://www.pewresearch.org/internet/2019/11/15/americans-and-privacy-concerned-confused-and-feeling-lack-of-control-over-their-personal-information/,Social media regulation harms privacy,-1.0,1.0
kp_0_1,evi_0_7,evi_0_12,,,,"The First Amendment of the US Constitution states, 'Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof.'","Compulsory vaccination is an interference with the human right of bodily integrity, which is a part of the right to private life enshrined in the Universal Declaration of Human Rights as well as in the European Convention on Human Rights.",,,,Routine child vaccinations should be mandatory,https://vaccines.procon.org/,https://theconversation.com/compulsory-vaccination-what-does-human-rights-law-say-167735,,,,Mandatory vaccination contradicts basic rights,-1.0,1.0
kp_1_2,evi_1_14,evi_1_16,evi_1_10,evi_1_17,evi_1_18,The Open Rights Group and the Index on Censorship warned that the proposals could threaten freedom of expression.,"But for every voice pushing for tighter restrictions under Section 230 of the Communications Decency Act, there’s an equal level of pushback arguing that these regulations violate the First Amendment and protected free speech.","Intervening with or removing content affects the rights to freedom of expression and privacy, and can easily lead to censorship.","For Peggy Hicks, Director of Thematic Engagement for UN Human Rights, nearly every country that has adopted laws relating to online content has jeopardised human rights in doing so.","Reuters reported last year that Facebook had committed to restrict significantly more Vietnamese content after Vietnam passed a cybersecurity law in 2018, and Amnesty International documented some of the impact on activists and journalists. CPJ noted that the law’s vague prohibitions on posts that would offend leaders, distort history, or cause confusion were a clear threat to press freedom.",Social media platforms should be regulated by the government,https://commonslibrary.parliament.uk/research-briefings/cbp-8743/,https://securityboulevard.com/2021/06/social-media-regulation-the-line-between-privacy-and-protection/,https://www.ohchr.org/en/stories/2021/07/moderating-online-content-fighting-harm-or-silencing-dissent,https://www.ohchr.org/en/stories/2021/07/moderating-online-content-fighting-harm-or-silencing-dissent,https://cpj.org/2022/01/social-media-regulation-affect-press/,Social media regulation harm freedom of speech and other democratic rights,-1.0,1.0
kp_0_3,evi_0_19,,,,,Mayo Clinic states that natural infection 'often provides more complete immunity than a series of vaccinations.',,,,,Routine child vaccinations should be mandatory,https://vaccines.procon.org/,,,,,Routine child vaccinations are not necessary to keep children healthy,-1.0,1.0
kp_0_4,evi_0_23,evi_0_24,evi_0_25,evi_0_26,evi_0_27,"Two to three million deaths are prevented each year worldwide by vaccination, and an additional 1.5 million deaths could be prevented each year if all recommended vaccines were used.","In the twentieth century, there were 16,316 deaths from polio and 29,004 deaths from smallpox yearly in the United States; in 2012 there were no reported cases of polio or smallpox.","Diphtheria killed 21,053 people yearly, measles killed 530,217 people yearly, mumps killed 162,344 people yearly, rubella killed 47,745 people yearly, and Hib killed 20,000 people yearly in the twentieth century United States; by 2012 each of these diseases were decreased by 99% because of vaccinations.","According to UNICEF, there were 500 cases of polio in 2014 worldwide (appearing only in three countries: Afghanistan, Nigeria, and Pakistan), down from 350,000 cases in 1988, thanks to vaccination programs","After introduction of the pneumococcal conjugate vaccine in 2000, several studies described a decrease in invasive pneumococcal disease in the United States. One year after its introduction, a group of investigators found a 69% drop in the rate of invasive disease in those of less than two years of age.",Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Vaccine_hesitancy,https://vaccines.procon.org/,https://vaccines.procon.org/,https://vaccines.procon.org/,https://en.wikipedia.org/wiki/Pneumococcal_conjugate_vaccine,Routine child vaccinations are effective,1.0,1.0
kp_1_3,evi_1_20,evi_1_21,,,,"When governments spend on public goods and merit goods, they may create excess bureaucracy and inefficiency.","In the U.S., debate grew heated regarding government intervention in the market system, as intervention can cause disruptions, including extending a recession or depression, as the market has a tendency to adjust naturally equalising inadequacies.",,,,Social media platforms should be regulated by the government,https://www.economicshelp.org/blog/5735/economics/should-the-government-intervene-in-the-economy/,https://www.ehow.co.uk/info_8646461_advantages-disadvantages-government-intervention.html,,,,The government should not intervene in the affairs of a private company,-1.0,1.0
kp_0_5,evi_0_28,evi_0_30,evi_0_32,evi_0_33,evi_0_34,"The World Health Organization (WHO) has estimated that vaccination prevents 3.5–5 million deaths per year, and up to 1.5 million children die each year due to diseases that could have been prevented by vaccination","It is estimated that full vaccination, from birth to adolescence, of all US children born in a given year would save 33,000 lives and prevent 14 million infections.","According to Shot@Life, a United Nations Foundation partner organization, vaccines save 2.5 million children from preventable diseases every year, which equates to roughly 285 children saved every hour.","The Centers for Disease Control (CDC) estimated that childhood immunization prevented about 419 million illnesses, 26.8 million hospitalizations, and 936,000 early deaths of children born between 1994 and 2018.",The measles vaccine has decreased childhood deaths from measles by 74%.,Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Vaccination,https://en.wikipedia.org/wiki/Vaccine_hesitancy,https://vaccines.procon.org/,https://vaccines.procon.org/,https://vaccines.procon.org/,Child vaccination saves lives,1.0,1.0
