key_point_id_1,key_point_id_2,evidence_id_1,evidence_id_2,evidence_1,evidence_2,topic,source_1,source_2,argument,stance_1,stance_2,label_1,label_2
kp_0_0,kp_0_0,evi_0_6,evi_0_3,"Rotashield, a vaccine for rotavirus (RV), was pulled from the market by the manufacturer nine months after it was introduced after it was discovered that the vaccine might have contributed to higher instances of intussusception (bowel obstruction).","The CDC reports that pneumonia can be caused by the chickenpox vaccine, and a “small possibility” exists that the flu vaccine could be associated with Guillain-Barré Syndrome, a disorder in which the person’s immune system attacks parts of the peripheral nervous system, in about one or two per million people vaccinated.",Routine child vaccinations should be mandatory,https://vaccines.procon.org/,https://vaccines.procon.org/,"Routine child vaccinations, or their side effects, are dangerous",-1.0,-1.0,1.0,1.0
kp_1_0,kp_1_0,evi_1_6,evi_1_0,"Like the Digital Services Act and Digital Markets Act, G.D.P.R. was hailed as landmark legislation. But since it took effect in 2018, there has been little action against Facebook, Google and others over their data-collection practices.","The groups wrote that, 'The FTC’s failure to enforce its order has resulted in the unlawful transfer of [87] million user records … [i]t is unconscionable that the FTC allowed this unprecedented disclosure of Americans’ personal data to occur. The FTC’s failure to act imperils not only privacy but democracy as well.'",Social media platforms should be regulated by the government,https://www.nytimes.com/2022/04/22/technology/european-union-social-media-law.html,https://epic.org/issues/consumer-privacy/social-media-privacy/,Social media regulation is not effective,-1.0,-1.0,1.0,1.0
kp_2_0,kp_2_0,evi_2_11,evi_2_1,"Additionally, at least six in ten Black adults (60%) and Hispanic adults (65%) report difficulty affording health care costs compared to about four in ten White adults (39%).","In another study, it was found that white teachers were more likely to give constructive feedback on essays if they believed the student who wrote it was white. Essays perceived to be written by Black or Latino students were given more praise and less guidance on how to improve their writing.",The USA is a good country to live in,https://www.kff.org/health-costs/issue-brief/americans-challenges-with-health-care-costs/,https://en.wikipedia.org/wiki/Educational_inequality_in_the_United_States,The US has unfair health and education policies,-1.0,-1.0,1.0,1.0
kp_1_1,kp_1_1,evi_1_13,evi_1_12,"Most also feel they have little or no control over how these entities use their personal information, according to a new survey of U.S. adults by Pew Research Center that explores how Americans feel about the state of privacy in the nation.","Some 81% of the public say that the potential risks they face because of data collection by companies outweigh the benefits, and 66% say the same about government data collection.",Social media platforms should be regulated by the government,https://www.pewresearch.org/internet/2019/11/15/americans-and-privacy-concerned-confused-and-feeling-lack-of-control-over-their-personal-information/,https://www.pewresearch.org/internet/2019/11/15/americans-and-privacy-concerned-confused-and-feeling-lack-of-control-over-their-personal-information/,Social media regulation harms privacy,-1.0,-1.0,1.0,1.0
kp_0_1,kp_0_1,evi_0_7,evi_0_12,"The First Amendment of the US Constitution states, 'Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof.'","Compulsory vaccination is an interference with the human right of bodily integrity, which is a part of the right to private life enshrined in the Universal Declaration of Human Rights as well as in the European Convention on Human Rights.",Routine child vaccinations should be mandatory,https://vaccines.procon.org/,https://theconversation.com/compulsory-vaccination-what-does-human-rights-law-say-167735,Mandatory vaccination contradicts basic rights,-1.0,-1.0,1.0,1.0
kp_1_2,kp_1_2,evi_1_18,evi_1_17,"Reuters reported last year that Facebook had committed to restrict significantly more Vietnamese content after Vietnam passed a cybersecurity law in 2018, and Amnesty International documented some of the impact on activists and journalists. CPJ noted that the law’s vague prohibitions on posts that would offend leaders, distort history, or cause confusion were a clear threat to press freedom.","For Peggy Hicks, Director of Thematic Engagement for UN Human Rights, nearly every country that has adopted laws relating to online content has jeopardised human rights in doing so.",Social media platforms should be regulated by the government,https://cpj.org/2022/01/social-media-regulation-affect-press/,https://www.ohchr.org/en/stories/2021/07/moderating-online-content-fighting-harm-or-silencing-dissent,Social media regulation harm freedom of speech and other democratic rights,-1.0,-1.0,1.0,1.0
kp_0_4,kp_0_4,evi_0_27,evi_0_26,"After introduction of the pneumococcal conjugate vaccine in 2000, several studies described a decrease in invasive pneumococcal disease in the United States. One year after its introduction, a group of investigators found a 69% drop in the rate of invasive disease in those of less than two years of age.","According to UNICEF, there were 500 cases of polio in 2014 worldwide (appearing only in three countries: Afghanistan, Nigeria, and Pakistan), down from 350,000 cases in 1988, thanks to vaccination programs",Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Pneumococcal_conjugate_vaccine,https://vaccines.procon.org/,Routine child vaccinations are effective,1.0,1.0,1.0,1.0
kp_1_3,kp_1_3,evi_1_20,evi_1_21,"When governments spend on public goods and merit goods, they may create excess bureaucracy and inefficiency.","In the U.S., debate grew heated regarding government intervention in the market system, as intervention can cause disruptions, including extending a recession or depression, as the market has a tendency to adjust naturally equalising inadequacies.",Social media platforms should be regulated by the government,https://www.economicshelp.org/blog/5735/economics/should-the-government-intervene-in-the-economy/,https://www.ehow.co.uk/info_8646461_advantages-disadvantages-government-intervention.html,The government should not intervene in the affairs of a private company,-1.0,-1.0,1.0,1.0
kp_0_5,kp_0_5,evi_0_30,evi_0_28,"It is estimated that full vaccination, from birth to adolescence, of all US children born in a given year would save 33,000 lives and prevent 14 million infections.","The World Health Organization (WHO) has estimated that vaccination prevents 3.5–5 million deaths per year, and up to 1.5 million children die each year due to diseases that could have been prevented by vaccination",Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Vaccine_hesitancy,https://en.wikipedia.org/wiki/Vaccination,Child vaccination saves lives,1.0,1.0,1.0,1.0
kp_1_4,kp_1_4,evi_1_29,evi_1_27,"We have seen political advertisements targeting minority communities during the 2016 election in the United States and in the United Kingdom to suppress voting and political participation. Ultimately, dark advertisements polarise voters, lower trust in institutions, and degrade the quality of our democracy.","This trust exists in many contexts today—for example, many people trust weather reports. But when the president of the United States has freely extolled the virtues of “truthful hyperbole,” incorrectly altered NOAA weather maps predicting the path of a hurricane, and then pressured NOAA officials to state that their predictions were consistent with the altered map, it is clear that even weather reports are subject to political pressures.",Social media platforms should be regulated by the government,https://www.carter-ruck.com/insight/fakes-news-authentic-views/responding-to-fake-news-through-regulation-and-automation/,https://dividedwefall.org/should-the-government-regulate-social-media/,Social media regulation can lead to political abuses by the government,-1.0,-1.0,1.0,1.0
kp_2_1,kp_2_1,evi_2_19,evi_2_14,"As Ezra Klein and other writers have noted, divisions between the two parties have intensified over time as various types of identities have become 'stacked' on top of people’s partisan identities.",The 2020 presidential election further highlighted these deep-seated divides. Supporters of Biden and Donald Trump believe the differences between them are about more than just politics and policies.,The USA is a good country to live in,https://www.pewresearch.org/fact-tank/2020/11/13/america-is-exceptional-in-the-nature-of-its-political-divide/,https://www.pewresearch.org/fact-tank/2020/11/13/america-is-exceptional-in-the-nature-of-its-political-divide/,The US has a problematic/divisive political system,-1.0,-1.0,1.0,1.0
kp_1_5,kp_1_5,evi_1_35,evi_1_34,"‘The government […] has a vital part to play and must act to put an end to the current ‘standards lottery’ approach to regulation. We concluded that self-regulation will no longer suffice. We must see an independent, statutory regulator established as soon as possible, one which has the full support of the Government to take strong and effective actions against companies who do not comply,‘' said Lamb in a statement. ‘'It is imperative that we take every step to protect young people online as we do offline.‘'","Concerns about social media aggravating poor youth mental health have been reignited following the death of a young British teenager, Molly Russell, whose social media feeds were reportedly filled with distressing content. Russell’s father has commented that he has 'no doubt that Instagram helped kill [his] daughter'.",Social media platforms should be regulated by the government,https://eandt.theiet.org/content/articles/2019/01/regulate-social-media-companies-to-protect-children-urge-mps/,https://eandt.theiet.org/content/articles/2019/01/regulate-social-media-companies-to-protect-children-urge-mps/,Social media regulation protects the younger audiences,1.0,1.0,1.0,1.0
kp_0_6,kp_0_6,evi_0_36,evi_0_39,"Of the 66 cases of measles reported in the U.S. in 2005, slightly over half were attributable to one unvaccinated teenager who became infected during a visit to Romania.[REF] This individual returned to a community with many unvaccinated children. The resulting outbreak infected 34 people, mostly children and virtually all unvaccinated; three of them were hospitalized.","In 2011, 49 US states did not meet the 92-94% herd immunity threshold for pertussis (whooping cough), resulting in a 2012 outbreak that sickened 48,277 people and was the biggest outbreak since 1955.",Routine child vaccinations should be mandatory,https://en.wikipedia.org/wiki/Measles_vaccine,https://vaccines.procon.org/,Routine child vaccinations are necessary to protect others,1.0,1.0,1.0,1.0
kp_1_6,kp_1_6,evi_1_39,evi_1_37,"Only 14 percent of Republicans believe the media report the news accurately, compared to 62 percent for Democrats. Even more disturbingly, 'a solid majority of the country believes major news organizations routinely produce false information.'","The European Union reached a deal on Saturday on landmark legislation that would force Facebook, YouTube and other internet services to combat misinformation, disclose how their services amplify divisive content and stop targeting online ads based on a person’s ethnicity, religion or sexual orientation.",Social media platforms should be regulated by the government,https://www.brookings.edu/research/how-to-combat-fake-news-and-disinformation/,https://www.nytimes.com/2022/04/22/technology/european-union-social-media-law.html,Social media regulation is necessary to deal with fake news,1.0,1.0,1.0,1.0
