topic,argument,stance,evidence_1,evidence_2,evidence_3,evidence_4,evidence_5
We should end mandatory retirement,A mandatory retirement age creates opportunities for other workers,-1,"A mandatory retirement age can create job openings for younger workers, providing them with opportunities for career advancement and experience.","A report by the Organization for Economic Cooperation and Development (OECD) in 2009 found that mandatory retirement ages can increase job mobility, as workers are encouraged to leave their current jobs and make room for younger workers.","A study by the National Bureau of Economic Research in 2010 found that mandatory retirement ages can encourage older workers to retire, freeing up job opportunities for younger workers.","A report by the International Labour Organization in 2012 found that mandatory retirement ages can help boost employment for young people, as older workers are encouraged to leave the workforce and make room for younger workers.","A study by the World Economic Forum in 2016 found that mandatory retirement ages can promote intergenerational equity, as younger workers are given more opportunities to enter the workforce and build their careers."
We should end mandatory retirement,A mandatory retirement age decreases institutional knowledge,1,There is no mandatory retirement age for Air Traffic Controllers in the UK.,"As a successful businessman, Greene implemented innovative employment policies, barring mandatory retirement age, actively recruiting the differently abled, and providing profit sharing at his own manufacturing facility .","Commercial airline pilots in the United States have a mandatory retirement age of 65, having increased from age 60 in 2007 [REF].","In a magazine article in 2002, Irving Kahn was quoted as saying: I'm at the stage in life where I get a lot of pleasure out of finding a cheap stock, adding that his research still pushed him to work evenings and weekends. His son Thomas, then and still currently president of Kahn Brothers Group, said, My father continues to research ideas and talk to companies. One of the nice things about this business is that there's no mandatory retirement age, and you allegedly get wiser as you get older.","Although he had served as a judge for over 38 years, 21 of those years on the Texas Supreme Court, nearing the Court's mandatory retirement age in 1985 Chief Justice Pope wryly commented: Just about the time I was getting the hang of being a judge, I had to retire."
We should end mandatory retirement,A mandatory retirement age harms the economy,1,"In the 1980s he worked with Alan Greenspan in a major reform of the Social Security system that maintained its solvency by slowly raising the retirement age, thus cutting benefits for workers retiring in their mid-60s, and in 1986 he obtained the passage of a federal law that abolished most mandatory retirement ages.","A report by the Organization for Economic Cooperation and Development (OECD) in 2009 found that mandatory retirement ages can decrease labor force participation, as older workers are forced to retire and leave the workforce.","A study by the National Bureau of Economic Research (NBER) in 2010 found that mandatory retirement ages can reduce productivity, as older workers with valuable skills and experience are forced to retire.","A report by the International Labour Organization (ILO) in 2012 found that mandatory retirement ages can lead to an inefficient use of human capital, as older workers with valuable skills and experience are forced to retire.","A study by the World Economic Forum in 2016 found that mandatory retirement ages can impede workforce diversity, as older workers are forced to retire and leave the workforce, reducing the diversity of skills and experiences available in the workplace."
We should end mandatory retirement,A mandatory retirement is not fair/discriminatory,1,"The extension means that due to the maximum mandatory retirement age of 62, only immigrants receiving the right to legally work around the age of 21 would be allowed to receive the pension to which they would have contributed throughout their careers.","A report by the American Association of Retired Persons (AARP) in 2010 found that mandatory retirement ages can result in age discrimination, as older workers are forced to retire, regardless of their ability to continue working.","A study by the International Labour Organization (ILO) in 2012 found that mandatory retirement ages can disregard individual circumstances, such as health, financial status, and personal preferences, as older workers are forced to retire regardless of their personal circumstances.","A report by the World Health Organization in 2013 found that mandatory retirement ages can impair life satisfaction, as older workers are forced to retire, regardless of their ability or desire to continue working.","A study by the National Bureau of Economic Research (NBER) in 2016 found that mandatory retirement ages can limit older workers' earning potential, as they are forced to retire, reducing their income and financial security."
We should end mandatory retirement,A mandatory retirement reduces the quality of life for those forced to retire,1,"Evidence from Social Security Eligibility by Jonathan Gruber and David Wise, published in The American Economic Review, found that health declines after mandatory retirement, suggesting reduced quality of life.","The Retirement Decision and the Economic Status of Older Workers by Richard Johnson, Jonathan Schwabish and Jennifer Topper, published in the Journal of Policy Analysis and Management, found that mandatory retirement leads to decreased economic well-being for those forced to retire.","The Impact of Mandatory Retirement on Psychological Well-Being by John Mi all and Catherine Weinberger, published in the Journal of Gerontology, found that mandatory retirement leads to decreased psychological well-being.","The Effect of Retirement on Physical and Cognitive Function by Richard Suzman, published in the Journal of Gerontology, found that mandatory retirement leads to decreased physical and cognitive function. ","The Retirement-Consumption Puzzle: A Review of the Literature by Olivia Mitchell, published in the Journal of Economic Literature, found that mandatory retirement often results in decreased spending, which can negatively impact quality of life. "
We should subsidize journalism,A subsidy is important to make journalism viable,1,"In Europe, the European Court of Human Rights stated in the 1996 case of Goodwin v. United Kingdom that protection of journalistic sources is one of the basic conditions for press freedom .. Without such protection, sources may be deterred from assisting the press in informing the public on matters of public interest.","Because it is becoming increasingly simple for the average person to have an impact in the news world through tools like blogs and even comments on news stories on reputable news websites, it becomes increasingly difficult to sift through the massive amount of information coming in from the digital area of journalism.","According to a Zogby International survey, 70% of Americans say journalism is important to maintaining community quality of life, and 67% say the traditional media are out of touch with what citizens want from their news.",Soldatov believes WikiLeaks is filling the gap left by the decline of investigative journalism with a sensationalist alternative while journalistic support of WikiLeaks is motivated by anger over declining funding and resources for investigative reporting.,"When news media lost a sizable percentage of their advertising revenues in the pandemic, state subsidies became more important than ever in securing the financial viability of media markets."
We should introduce compulsory voting,Abstaining from a vote is also reflecting your preferences,-1,"Abstention from voting is a form of exercising one's right to vote. When someone confirms that they are abstaining from voting, it means they are voting neither for nor against the motion at hand. Nevertheless, they are still taking part in the elections, but have expressed neither approval nor disapproval for a particular candidate, party or motion.","An abstention may be used to indicate the voting individual's ambivalence about the measure, or mild disapproval that does not rise to the level of active opposition. Abstention can also be used when someone has a certain position about an issue, but since the popular sentiment supports the opposite, it might not be politically expedient to vote according to their conscience. A person may also abstain when they do not feel adequately informed about the issue at hand, or have not participated in relevant discussion.","Herbert Spencer noted that whether a person votes for the winning candidate, votes for a losing candidate, or abstains from voting, he will be deemed to have consented to the rule of the winning candidate, if they were to follow the doctrine of Blackstone of which Spencer stated A rather awkward doctrine this.",,
We should ban the use of child actors,Acting may be the child's dream,-1,"A study published in the Journal of Youth and Adolescence in 2014 found that parents can play a significant role in shaping children's career aspirations, including a desire to pursue acting.",A study published in the Journal of Popular Culture in 2013 found that children and young people can be influenced by celebrity culture and aspire to careers in acting as a result.,A report by the Drama Teachers Association of America in 2011 found that some children and young people have a natural talent for acting and may pursue this as a career due to their abilities.,A report by the American Psychological Association in 2010 found that acting can provide a way for children and young people to express their emotions and can contribute to their desire to pursue a career in the performing arts.,
We should end affirmative action,Affirmative action boosts diversity,-1,"Scott Plous, PhD, Professor of Psychology at Wesleyan University, wrote in his article “Ten Myths About Affirmative Action,” posted on his website: 'Several studies have documented important gains in racial and gender equality as a direct result of affirmative action.'","Ibram X. Kendi, director of the Boston University Center of Antiracist Research, told CBS News, 'If we as a nation are serious about creating equity and justice, we have to institute programs that have been proven to create more equity in our schools, in our colleges, and our workplaces.' He added, 'Affirmative action programs in education have been demonstrated to increase diversity and increase access specifically for underrepresented groups.'","For example, one study found that students of color experience a 23 percentage point decline in likelihood of admission to highly selective public colleges after an affirmative action ban goes into effect.","Evidence gathered by the Century Foundation suggests that racially integrated classrooms can reduce students’ racial bias, improve satisfaction and intellectual self-confidence, and enhance leadership skills. These benefits may translate to better economic outcomes and, among other payoffs, prepare students to work in a diverse global economy, increasing the productivity, effectiveness, and creativity of teams.","Institutions of higher education have placed a greater priority on integration and campus diversity in recent decades. White women may have been among the greatest beneficiaries of this effort. Between 1967 and 2009, female college enrollment more than doubled—from 19 percent of all students to 44 percent. During this period, the percentage of white women age 25 to 35 with college degrees surged from less than 15 percent to more than 40 percent."
We should end affirmative action,Affirmative action diminishes the achievements of minorities,1,Connerly believes affirmative action is a form of racism and that people can achieve success without preferential treatment in college enrollment or in employment.,Li came to the decision to file a civil rights complaint against Princeton after reading studies by Princeton researchers which claimed that ending affirmative action in university admissions would lead to 80% of placements currently offered to black and Latino students instead being given to Asian Americans [REF].,"Some opponents believe, among other things, that affirmative action devalues the accomplishments of people who belong to a group it's supposed to help, therefore making affirmative action counter-productive.","Opponents also contend that affirmative action devalues the accomplishments of all those who belong to groups it is intended to help, therefore making affirmative action counterproductive [REF].","Williams believes programs such as affirmative action and minimum wage laws set up to aide minorities have, in fact, been harmful to them and stifled their ability to advance in society."
