key_point_id,evidence_id_1,evidence_id_2,evidence_id_3,evidence_id_4,evidence_id_5,evidence_1,evidence_2,evidence_3,evidence_4,evidence_5,topic,source_1,source_2,source_3,source_4,source_5,argument,stance,label
kp_0_4,evi_0_30,,,,,"The patient must be an adult and in a 'futile medical condition of constant and unbearable physical or mental suffering that cannot be alleviated'. The patient must have a long-term history with the doctor, with euthanasia/physician-assisted suicide only allowed for permanent residents.",,,,,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,,,,,Assisted suicide allows people to solicit someone to die to their own benefit,1.0,1.0
kp_0_0,evi_0_2,evi_0_3,evi_0_4,evi_0_5,evi_0_6,"Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","Dignity in Dying supporters argue that the recent trends towards the use of the Dignitas clinic in Switzerland and press stories regarding botched suicides and do-it-yourself advice would be stopped because individuals would know that when and if they wished to finally request an assisted death in the UK, it would be available as arranged.","A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends.","Writing in 2005 about another bill on the topic introduced by Lord Joffe, the House of Lords Assisted Dying for the Terminally Ill Bill Committee summarised the debate in this way: The [Joffe] bill is founded on the principle of personal autonomy. Its supporters believe that terminally ill people should have the right, subject to prescribed safeguards, to have medical assistance to die in the same way that patients, whether or not terminally ill, already have the right to refuse life-prolonging treatment.","The campaign group Dignity in Dying, of which Baroness Meacher is chair, has argued that current law contains no safeguards to protect dying people who want to control their death. It states that around 350 Britons have now travelled to Switzerland to end their life, at a cost of around £10,000 each. Dignity in Dying argues that many of these people travel before they are ready to die, because they are afraid of becoming too weak to make the journey. In theory, those that accompany them could face up to 14 years imprisonment.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2563356/,https://lordslibrary.parliament.uk/assisted-dying-bill-hl/,https://lordslibrary.parliament.uk/assisted-dying-bill-hl/,Assisted suicide gives dignity to the person that wants to commit it,-1.0,1.0
kp_0_1,evi_0_8,evi_0_11,evi_0_12,,,"In early 2014, a New Mexico Second District Judge Nan Nash ruled that terminally ill patients have the right to aid in dying under the state constitution, i.e. making it legal for a doctor to prescribe a lethal dose of medication to a terminally ill patient.","It states that euthanasia and physician-assisted suicide are not punishable if the attending physician acts in accordance with criteria of due care. These criteria concern the patient's request, the patient's suffering (unbearable and hopeless), the information provided to the patient, the absence of reasonable alternatives, consultation of another physician and the applied method of ending life.","Indeed, studies from parts of the world that have legalised assisted suicide report that many plans put in place for an early death are not taken up as people end up dying naturally, with the peace of mind brought about by knowing that an assisted death was available if pain and suffering had got too much.",,,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,,,Assisted suicide reduces suffering,-1.0,1.0
kp_0_6,evi_0_40,,,,,"Physician-assisted suicide and euthanasia should not be performed simply because a patient is depressed, tired of life, worried about being a burden, or worried about being dependent. All these may be signs that not every effort has yet been made.",,,,,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,,,,,Assisted suicide should not be allowed because many times people can still get better,1.0,1.0
kp_0_7,evi_0_46,evi_0_47,evi_0_49,,,"The organization held that the danger of making doctors the agents of a patient's death far outweighed any advantages to assisted suicide, or safeguards in the initiative's text.","The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.","Dr. Lynda Young, MD, stated her opposition when she said, 'Physician-assisted suicide is fundamentally incompatible with the physician's role as healer.'",,,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,,,Assisted suicide violates the doctor's role,1.0,1.0
kp_0_8,evi_0_56,evi_0_60,evi_0_61,evi_0_62,evi_0_63,Assisted suicide is illegal in New Zealand.,"In 1997, in the cases of Washington v. Glucksberg and Vacco v. Quill, the U.S. Supreme Court ruled unanimously that there is no Constitutional right to assisted suicide, and that states therefore have the right to prohibit it.",Any person found to be assisting suicide is breaking the law and can be convicted of assisting suicide or attempting to do so.,"In 1994, a suit was filed in New York claiming that the anti-assisted suicide statute was a violation of equal protection and liberty guarantees of the Fourteenth Amendment. This claim was rejected by the District Court on the basis that there is no right to assisted suicide given by the U.S. Constitution.",The New Zealand Medical Association oppose voluntary euthanasia and doctor assisted suicide maintaining that it is unethical regardless of whether the patient or relatives wishes to have it carried out.,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People do not have the right to self-harm/harm others,1.0,1.0
kp_0_2,evi_0_15,evi_0_17,evi_0_18,evi_0_19,evi_0_21,"In Washington v. Glucksberg (1997), a group of Washington residents asserted that a state law banning assisted suicide was unconstitutional on its face.","Dame Joan Bakewell, the British government's 'Voice of Older People', said that the current British law on assisted suicide was 'a mess' and that Nitschke should have been made more welcome in the UK.",The use of Advanced Decisions can help significantly but they also believe that if a right to an Assisted Death is available then the very knowledge of this fact can alleviate many of the worries an individual might have.,Dignity in Dying argue that if a person does not wish to take advantage of a change in the law which would allow for an assisted death then that is down to personal choice.,"The plaintiffs believe that every Canadian should have the choice to have what they consider to be a good death, including the option of a medically assisted death for seriously and incurably ill, mentally competent adults.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People should have the freedom to choose to end their life,-1.0,1.0
kp_0_9,evi_0_66,evi_0_33,,,,"As Emanuel said, 'The Netherlands studies fail to demonstrate that permitting physician-assisted suicide and euthanasia will not lead to the nonvoluntary euthanasia of children, the demented, the mentally ill, the old, and others.'","As applied to the euthanasia debate, the slippery slope argument claims that the acceptance of certain practices, such as physician-assisted suicide or voluntary euthanasia, will invariably lead to the acceptance or practice of concepts which are currently deemed unacceptable, such as non-voluntary or involuntary euthanasia.",,,,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,,,,People who are ill do not have clear judgement and are in need of help,1.0,1.0
kp_0_3,evi_0_24,evi_0_25,evi_0_26,evi_0_27,evi_0_28,"In an article published mid-2009, Pratchett stated that he wished to die by assisted suicide (although he disliked that term) before his disease progressed to a critical point.","Opponents have presented a story of Oregon resident Jeanette Hall, who was diagnosed with cancer and given 6 months to a year to live. She wanted the act of assisted death to be performed.","Drawing on the various ethical, medical and legal considerations as well as on the experiences of the Netherlands, Belgium, Switzerland and Oregon, he argues that on some occasions not only passive euthanasia may be allowed but also physician-assisted suicide.","Assisted suicide is a practice in which a person receives assistance in bringing about their death, typically people suffering from a severe physical illness, in which the final step in the process is actively performed by the person concerned.","In response, autonomy and quality-of-life-base arguments are made in support of euthanasia, underscored by claims that when the only way to relieve a dying patient's pain or suffering is terminal sedation with loss of consciousness, death is a preferable alternative - an argument also made in support of physician-assisted suicide.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,The terminally ill would benefit from assisted suicide,-1.0,1.0
kp_1_0,evi_1_0,evi_1_2,evi_1_3,evi_1_4,,"The agency provides Eastern York Schools, district home schooled students and area private schools many services including: Special education services, combined purchasing, and instructional technology services.","Gallup polls of American voters have shown a significant change in attitude in the last twenty years, from 73% opposed to home education in 1985 to 54% opposed in 2001.","The agency provides Lebanon School District, charter schools, the district's home schooled students and area private schools many services including: Special education services, combined purchasing, and instructional technology services.","Homeschooling can be an option for families living in isolated rural locations, living temporarily abroad, and to allow for more traveling; also many young athletes and actors are taught at home.",,Homeschooling should be banned,https://en.wikipedia.org/wiki/Eastern_York_School_District,https://en.wikipedia.org/wiki/Homeschooling,https://en.wikipedia.org/wiki/Lebanon_School_District,https://en.wikipedia.org/wiki/Homeschooling,,Homeschooling is often the best option for catering for the needs of exceptional/religious/ill/disabled students.,-1.0,1.0
