key_point_id,evidence_id,evidence,topic,source,argument,stance,label
kp_0_4,evi_0_30,"The patient must be an adult and in a 'futile medical condition of constant and unbearable physical or mental suffering that cannot be alleviated'. The patient must have a long-term history with the doctor, with euthanasia/physician-assisted suicide only allowed for permanent residents.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide allows people to solicit someone to die to their own benefit,1.0,1.0
kp_0_0,evi_0_0,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.",Assisted suicide should be a criminal offence,https://academic.oup.com/book/26937/chapter/196061966,Assisted suicide gives dignity to the person that wants to commit it,-1.0,1.0
kp_0_1,evi_0_11,"It states that euthanasia and physician-assisted suicide are not punishable if the attending physician acts in accordance with criteria of due care. These criteria concern the patient's request, the patient's suffering (unbearable and hopeless), the information provided to the patient, the absence of reasonable alternatives, consultation of another physician and the applied method of ending life.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide reduces suffering,-1.0,1.0
kp_0_6,evi_0_40,"Physician-assisted suicide and euthanasia should not be performed simply because a patient is depressed, tired of life, worried about being a burden, or worried about being dependent. All these may be signs that not every effort has yet been made.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide should not be allowed because many times people can still get better,1.0,1.0
kp_0_7,evi_0_46,"The organization held that the danger of making doctors the agents of a patient's death far outweighed any advantages to assisted suicide, or safeguards in the initiative's text.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide violates the doctor's role,1.0,1.0
kp_0_8,evi_0_55,"The majority held that as assisted suicide is not a fundamental liberty interest, it was not protected under the due process clause of the Fourteenth Amendment.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People do not have the right to self-harm/harm others,1.0,1.0
kp_0_2,evi_0_14,"In physician-assisted suicide (also called physician aid-in-dying or PAD) a physician knowingly provides a competent but suffering patient, upon the patient's request, with the means by which the patient intends to end his or her own life. Assisted suicide is contrasted with 'active euthanasia' when the difference between providing the means and actively administering lethal medicine is considered important.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People should have the freedom to choose to end their life,-1.0,1.0
kp_0_9,evi_0_33,"As applied to the euthanasia debate, the slippery slope argument claims that the acceptance of certain practices, such as physician-assisted suicide or voluntary euthanasia, will invariably lead to the acceptance or practice of concepts which are currently deemed unacceptable, such as non-voluntary or involuntary euthanasia.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People who are ill do not have clear judgement and are in need of help,1.0,1.0
kp_0_3,evi_0_24,"In an article published mid-2009, Pratchett stated that he wished to die by assisted suicide (although he disliked that term) before his disease progressed to a critical point.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,The terminally ill would benefit from assisted suicide,-1.0,1.0
kp_1_0,evi_1_0,"The agency provides Eastern York Schools, district home schooled students and area private schools many services including: Special education services, combined purchasing, and instructional technology services.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Eastern_York_School_District,Homeschooling is often the best option for catering for the needs of exceptional/religious/ill/disabled students.,-1.0,1.0
kp_1_1,evi_1_10,Gosling has said that homeschooling gave him 'a sense of autonomy that I've never really lost'.,Homeschooling should be banned,https://en.wikipedia.org/wiki/Ryan_Gosling,Homeschools can be personalized to the child's pace/needs,-1.0,1.0
kp_1_8,evi_1_52,"Take Vyckie Garrison, an ex-Quiverfull mother of seven who, in 2008, enrolled her six school-age children in public school after 18 years of teaching them at home. Garrison, who started the No Longer Quivering blog, says her near-constant pregnancies - which tended to result either in miscarriages or life-threatening deliveries - took a toll on her body and depleted her energy. She wasn't able to devote enough time and energy to homeschooling to ensure a quality education for each child. And she says the lack of regulation in Nebraska, where the family lived, allowed us to get away with some really shoddy homeschooling for a lot of years.",Homeschooling should be banned,https://scienceblogs.com/denialism/2012/03/15/homeschooling-needs-either-tig,Homeschools cannot be regulated/standardized,1.0,1.0
kp_1_6,evi_1_38,"There are also other experiences that homeschooled children miss out on. Schools offer work experience opportunities, the ability to participate in sports leagues, and opportunities for recognition and reward (for example, during assemblies). Those who are taught at home do not experience these things, and might feel as though they have missed out.",Homeschooling should be banned,https://www.highspeedtraining.co.uk/hub/the-homeschooling-debate/,Mainstream schools are essential to develop social skills,1.0,1.0
kp_1_9,evi_1_56,"The National Education Association, a United States teachers' union and professional association, opposes homeschooling.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Homeschooling,Mainstream schools are of higher educational quality,1.0,1.0
kp_1_2,evi_1_16,"In 1980, Holt said, 'I want to make it clear that I don't see homeschooling as some kind of answer to badness of schools.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Homeschooling,Mainstream schools have a lot of violence/bullying,-1.0,1.0
kp_1_7,evi_1_45,"Stanford University political scientist Professor Rob Reich (not to be confused with former U.S. Secretary of Labor, Robert Reich) wrote in The Civic Perils of Homeschooling (2002) that homeschooling can potentially give students a one-sided point of view, as their parents may, even unwittingly, block or diminish all points of view but their own in teaching.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Homeschooling,Parents are not qualified as teachers,1.0,1.0
kp_1_3,evi_1_25,"Homeschoolers want to have a deeper understanding of their children's educationprogress than school reports provide and to give their children the liberty to explore their own family'sculture, free from the constraints of government-controlled systems and institutions",Homeschooling should be banned,https://www.ascd.org/el/articles/customization-through-homeschooling,Parents should be permitted to choose the education of their children,-1.0,1.0
kp_1_5,evi_1_36,"Theywant to see their children enjoy a broader socialization than a typical classroom allows and to give theirchildren “a more active learning environment, with provision of real opportunities to structure their owndays",Homeschooling should be banned,https://www.ascd.org/el/articles/customization-through-homeschooling,The home is a good learning environment,-1.0,1.0
kp_2_0,evi_2_3,"By freeing himself from other obligations, Paul teaches that a priest is thereby freer to devote himself to God. He also says that the increased solitude away from the demands of wife and family may nourish a priest's spiritual life.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy allows a priest to focus on God,-1.0,1.0
kp_2_1,evi_2_9,Sacerdotalis caelibatus (Latin for Of priestly celibacy) is an encyclical written by Pope Paul VI.,The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy is a strong religious belief,-1.0,1.0
kp_2_6,evi_2_37,"Moreover, the knights of the order were virtually secularized: Pope Paul III commuted their vow of celibacy to one of conjugal fidelity (1540).",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy is outdated,1.0,1.0
kp_2_7,evi_2_53,"It's not just biology, sexual chemistry makes celibacy a difficult lifestyle, says Jimmy O'Brien. Women sometimes saw priests as forbidden fruit and a bit of a challenge, he remembers. But what he found hardest was not having someone to share life with.",The vow of celibacy should be abandoned,https://www.bbc.co.uk/news/magazine-21654663,Celibacy is too pressuring/diffcult,1.0,1.0
kp_2_8,evi_2_59,Celibacy is an unnatural act in nature. All living organisms are meant to reproduce. The sexual act is critical for the survival of the species.,The vow of celibacy should be abandoned,https://devdutt.com/articles/is-celibacy-unnatural-or-supernatural/,Celibacy is unhealthy/unnatural,1.0,1.0
kp_2_9,evi_2_61,"In 2004, at least 1,092 allegations of sexual abuse were made against at least 756 Catholic priests and deacons in the United States.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy leads to wrong sexual behaviour,1.0,1.0
kp_2_2,evi_2_15,"Although the Pope upholds the sanctity of the sacrament of marriage, he rejects the notion that it is the only reasonable path available to a person. Rather, the love that feeds a priest's choice of celibate life also draws on God:  His charity is drawn from the purest source, practiced in the imitation of God and Christ, and is no less demanding and real than any other genuine love. It gives the priest a limitless horizon, deepens and gives breadth to his sense of responsibility - a mark of mature personality - and inculcates in him, as a sign of a higher and greater fatherhood, a generosity and refinement of heart which offer a superlative enrichment.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy makes the priests to be perceived as holy,-1.0,1.0
kp_2_10,evi_2_67,"In 1971, Joseph Matthew Breitenbeck,  american prelate of the Roman Catholic Church, expressed his support for the ordination of women and for ending clerical celibacy in order to address the priest shortage.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Celibacy reduces the pool of people wanting to become priests,1.0,1.0
kp_2_3,evi_2_21,"Theresia (Katharina Schoenberger); Sr. Agnes (Elisabeth Haas); Sr. Elisabeth (Anna Maria Mueller); Sr. Klara (Elisabeth Meuser)) took the vows of celibacy, obedience and poverty in front of the Bishop of Limburg, Peter Joseph Blum.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Priests choose to be celibates,-1.0,1.0
kp_2_4,evi_2_30,"Siricius was emphatic that clerical continence belonged to immemorial, even apostolic, tradition. He declared that priests had been under a duty to observe temporary continence when serving in the Temple, but that the coming of Christ had brought the old priesthood to completion, and by this fact the duty of temporary continence had become an obligation to perpetual continence.",The vow of celibacy should be abandoned,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Religious experiences and traditions should be maintained,-1.0,1.0
kp_2_5,evi_2_34,"The Archbishop of Vienna today said priestly celibacy could be one of the causes of the sex abuse scandals to hit the Catholic church. In an article for Thema Kirche, his diocesan magazine, Christoph Schonborn became the most senior figure in the Catholic hierarchy to make the connection between the two and called for an unflinching examination of the possible reasons for paedophilia.",The vow of celibacy should be abandoned,https://www.theguardian.com/world/2010/mar/11/priestly-celibacy-catholic-sex-scandals,Removing celibacy could lead to sexually reckless acts,-1.0,1.0
