key_point_id,evidence_id,evidence,topic,source,argument,stance,label
kp_4_0,evi_4_1,"A former student at Hershey High School (Hershey, PA), wrote in her May 31, 2009 oped titled “The Case for High School Uniforms,” published on PennLive.com: “Contrary to popular belief, uniforms do not stop students from being themselves. Uniforms do not silence voices. Students can wear a variety of expressive items, such as buttons or jewelry…",We should abandon the use of school uniform,https://school-uniforms.procon.org/should-students-have-to-wear-school-uniforms-pro-con-quotes/,Children can still express themselves using other means,-1,1.0
kp_4_8,evi_4_45,"As Tara Maginnis Ph.D. wrote “school uniforms send early-life messages to students that conformity is important and creativity is not, that authority is allowed to abuse its power and constrain our constitutional right to free speech and expression.",We should abandon the use of school uniform,https://novakdjokovicfoundation.org/school-uniforms-yes-or-no/,School uniform harms learning/creativity,1,1.0
kp_4_5,evi_4_28,One study carried out at Arizona State University confirmed this. It found that students from school without a school uniform policy had a higher self-perception than those from schools which forced students to wear uniforms.,We should abandon the use of school uniform,https://www.parlia.com/a/uniforms-negatively-affect-students-self-image,School uniform is harming the student's self expression,1,1.0
kp_4_1,evi_4_6,"The Department of Education (DofE) has found increasing evidence that schools which strictly enforce uniform policies experience fewer incidences of bullying, as potential bullies find it harder to identify their targets, who often are those children who do not fit in.",We should abandon the use of school uniform,https://price-buckland.co.uk/blog/does-uniform-really-help-reduce-bullying/,School uniform reduces bullying,-1,1.0
kp_4_6,evi_4_33,"School uniforms can seem like an added expense for families already struggling due to the increasing costs of bills and essential items. With the news that families could find themselves £1,200 worse off each year.",We should abandon the use of school uniform,https://www.liverpoolecho.co.uk/news/cost-of-living/are-school-uniforms-too-expensive-24579779,School uniforms are expensive,1,1.0
kp_4_7,evi_4_43,"According to a recent GLSEN study, 19 percent of LGBT students were prevented from wearing clothes that were thought to be from another gender and that number was even higher for transgender students, nearly 32 percent of whom have been prevented from wearing clothes that differed from those designated for their legal sex.",We should abandon the use of school uniform,https://www.theatlantic.com/education/archive/2015/10/school-dress-codes-are-problematic/410962/,School uniforms are often uncomfortable/sexist,1,1.0
kp_4_4,evi_4_23,"Uniforms not only unify students’ appearances, but they also create a sense of unity in terms of community. A student in a uniform feels they belong to their school and that their school belongs to them. They boost school pride and spirit.",We should abandon the use of school uniform,https://evolutionuniforms.com/threads-of-unity-5-benefits-of-school-uniforms/,School uniforms create a sense of equality/unity,-1,1.0
kp_4_2,evi_4_11,Students in uniform are more focused in their academics which also helps to minimise disciplinary problems. With a uniform policy teachers can spend more time teaching in the classrooms rather than keeping a check on students if they are dressed appropriately or not.,We should abandon the use of school uniform,"https://academiamag.com/school-uniforms-can-improve-discipline-in-the-students/#:~:text=Students%20in%20uniform%20are%20more,are%20dressed%20appropriately%20or%20not.",School uniforms encourage discipline or focus on learning,-1,1.0
kp_4_9,evi_4_54,"Research has shown that getting to dress themselves in what they want not only encourages independent thinking in kids and teens, but it also prepares them for adulthood when they have to learn to adapt to shifting social standards and contexts—skills that will serve them well as adults. When they prepare for their first college visits, job interviews, internships or promotions, they will need to know how to make appropriate choices.",We should abandon the use of school uniform,https://www.herfamily.ie/opinion/time-ditch-school-uniforms-yet-414456,School uniforms increase conformity or harm individuality,1,1.0
kp_4_3,evi_4_18,"According to recent NY Post article, most parents responded that they spent $48 on pants for their children and that $30 was a reasonable price for a T-shirt. Using those figures, the average American family is encountering a figure approaching, and in some cases surpassing, $300 per child for back-to-school clothing. Contrast that figure with the cost of a year's worth of school uniforms:one year (five tops and five bottoms) of school uniform or standardized dress code clothing is $150. Therefore families can save at least $150 per child on back-to-school clothes!If these savings are applied over a 12-year career, each child could save $1800! These savings are more than enough to help students prepare for college expenses, when money is tight due to rising tuition costs.",We should abandon the use of school uniform,https://shop.catholicsupply.com/blog/How-School-Uniforms-Save-Money,School uniforms saves costs,-1,1.0
kp_7_4,evi_7_27,A study published in the American Journal of Public Health found that “legal purchase of a handgun appears to be associated with a long-lasting increased risk of violent death”,We should abolish the right to keep and bear arms,https://gun-control.procon.org/,Banning guns would save lives,1,1.0
kp_7_0,evi_7_0,Criminals overwhelmingly obtain their firearms through illegal channels and will never be deterred by state and federal laws.  A 2016 Obama administration study by the Bureau of Justice Statistics examined how prison inmates obtained the firearms they used during crimes — and the results weren’t surprising. The study found that only about 10.1% obtained their firearms through a retail source.,We should abolish the right to keep and bear arms,https://www.nraila.org/why-gun-control-doesn-t-work/,Gun control is ineffective,-1,1.0
kp_7_7,evi_7_57,"A 1993 study published in The New England Journal of Medicine found that '[r]ather than confer protection, guns kept in the home are associated with an increase in the risk of homicide by a family member or intimate acquaintance.'",We should abolish the right to keep and bear arms,https://gun-control.procon.org/,Gun ownership allows for mass-shootings/general gun violence,1,1.0
kp_7_1,evi_7_7,"The U.S. Supreme Court revisited the issue in the case of District of Columbia v. Heller, 478 F.3d 370. The plaintiff in Heller challenged the constitutionality of a Washington D.C. law which prohibited the possession of handguns. In a 5-4 decision, the Court struck down the D.C. handgun ban as violative of that right. The Court meticulously detailed the history and tradition of the Second Amendment at the time of the Constitutional Convention and proclaimed that the Second Amendment established an individual right for U.S. citizens to possess firearms.",We should abolish the right to keep and bear arms,https://www.law.cornell.edu/wex/second_amendment,Gun ownership is a right,-1,1.0
