key_point_id,evidence_id_1,evidence_id_2,evidence_1,evidence_2,topic,source_1,source_2,argument,stance,label_1,label_2
kp_0_0,evi_0_0,evi_0_2,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.","Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.",Assisted suicide should be a criminal offence,https://academic.oup.com/book/26937/chapter/196061966,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide gives dignity to the person that wants to commit it,-1.0,1.0,1.0
kp_0_1,evi_0_11,evi_0_12,"It states that euthanasia and physician-assisted suicide are not punishable if the attending physician acts in accordance with criteria of due care. These criteria concern the patient's request, the patient's suffering (unbearable and hopeless), the information provided to the patient, the absence of reasonable alternatives, consultation of another physician and the applied method of ending life.","Indeed, studies from parts of the world that have legalised assisted suicide report that many plans put in place for an early death are not taken up as people end up dying naturally, with the peace of mind brought about by knowing that an assisted death was available if pain and suffering had got too much.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide reduces suffering,-1.0,1.0,1.0
kp_0_7,evi_0_46,evi_0_47,"The organization held that the danger of making doctors the agents of a patient's death far outweighed any advantages to assisted suicide, or safeguards in the initiative's text.","The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,Assisted suicide violates the doctor's role,1.0,1.0,1.0
kp_0_8,evi_0_55,evi_0_60,"The majority held that as assisted suicide is not a fundamental liberty interest, it was not protected under the due process clause of the Fourteenth Amendment.","In 1997, in the cases of Washington v. Glucksberg and Vacco v. Quill, the U.S. Supreme Court ruled unanimously that there is no Constitutional right to assisted suicide, and that states therefore have the right to prohibit it.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People do not have the right to self-harm/harm others,1.0,1.0,1.0
kp_0_2,evi_0_14,evi_0_16,"In physician-assisted suicide (also called physician aid-in-dying or PAD) a physician knowingly provides a competent but suffering patient, upon the patient's request, with the means by which the patient intends to end his or her own life. Assisted suicide is contrasted with 'active euthanasia' when the difference between providing the means and actively administering lethal medicine is considered important.","In 2002, the Netherlands passed a law legalizing euthanasia including physician-assisted suicide. This law codifies the twenty-year-old convention of not prosecuting doctors who have committed euthanasia in very specific cases, under very specific circumstances.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People should have the freedom to choose to end their life,-1.0,1.0,1.0
kp_0_9,evi_0_33,evi_0_66,"As applied to the euthanasia debate, the slippery slope argument claims that the acceptance of certain practices, such as physician-assisted suicide or voluntary euthanasia, will invariably lead to the acceptance or practice of concepts which are currently deemed unacceptable, such as non-voluntary or involuntary euthanasia.","As Emanuel said, 'The Netherlands studies fail to demonstrate that permitting physician-assisted suicide and euthanasia will not lead to the nonvoluntary euthanasia of children, the demented, the mentally ill, the old, and others.'",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,People who are ill do not have clear judgement and are in need of help,1.0,1.0,1.0
kp_0_3,evi_0_24,evi_0_26,"In an article published mid-2009, Pratchett stated that he wished to die by assisted suicide (although he disliked that term) before his disease progressed to a critical point.","Drawing on the various ethical, medical and legal considerations as well as on the experiences of the Netherlands, Belgium, Switzerland and Oregon, he argues that on some occasions not only passive euthanasia may be allowed but also physician-assisted suicide.",Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,https://research.ibm.com/haifa/dept/vst/debating_data.shtml,The terminally ill would benefit from assisted suicide,-1.0,1.0,1.0
kp_1_0,evi_1_0,evi_1_4,"The agency provides Eastern York Schools, district home schooled students and area private schools many services including: Special education services, combined purchasing, and instructional technology services.","Homeschooling can be an option for families living in isolated rural locations, living temporarily abroad, and to allow for more traveling; also many young athletes and actors are taught at home.",Homeschooling should be banned,https://en.wikipedia.org/wiki/Eastern_York_School_District,https://en.wikipedia.org/wiki/Homeschooling,Homeschooling is often the best option for catering for the needs of exceptional/religious/ill/disabled students.,-1.0,1.0,1.0
kp_1_1,evi_1_10,evi_1_13,Gosling has said that homeschooling gave him 'a sense of autonomy that I've never really lost'.,"Nelson said: One key benefit is the fact that, if you homeschool, you can personalise the education that your child receives according to their interests, needs, ability, and learning style. This might include spending more time outside doing physical exercise, letting them learn more about a subject that’s piqued their interest, or giving them the day off if they’re ill. When education is personalised, children are more engaged. It also allows them to discover their aptitudes and develop as people",Homeschooling should be banned,https://en.wikipedia.org/wiki/Ryan_Gosling,https://www.highspeedtraining.co.uk/hub/the-homeschooling-debate/,Homeschools can be personalized to the child's pace/needs,-1.0,1.0,1.0
kp_1_8,evi_1_52,evi_1_53,"Take Vyckie Garrison, an ex-Quiverfull mother of seven who, in 2008, enrolled her six school-age children in public school after 18 years of teaching them at home. Garrison, who started the No Longer Quivering blog, says her near-constant pregnancies - which tended to result either in miscarriages or life-threatening deliveries - took a toll on her body and depleted her energy. She wasn't able to devote enough time and energy to homeschooling to ensure a quality education for each child. And she says the lack of regulation in Nebraska, where the family lived, allowed us to get away with some really shoddy homeschooling for a lot of years.","I'm fine with homeschooling, if parents can do it. But that's a big 'if', and there has got to be regulation to ensure that children aren't being abused. Public school is a lot more than just an educational opportunity; it's the single most important social safety net we have in America, because it exists for the most vulnerable section of our population: children. A lot of child abuse cases are detected because teachers noticed suspicious marks on a child. Far more children than any of us would like to believe only get adequate nutrition because of free or reduced price breakfast and lunch at school. School is also the number one reason why parents get their kids vaccinated, because it's usually required for entry; if nothing requires it, it's too easy to just put it off.",Homeschooling should be banned,https://scienceblogs.com/denialism/2012/03/15/homeschooling-needs-either-tig,https://scienceblogs.com/denialism/2012/03/15/homeschooling-needs-either-tig,Homeschools cannot be regulated/standardized,1.0,1.0,1.0
