evidence_id,evidence,type,topic,source
evi_0_0,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.",None Evidence,Assisted suicide should be a criminal offence,https://academic.oup.com/book/26937/chapter/196061966
evi_0_1,"In 1992, Kevorkian himself wrote that it is always necessary to consult a psychiatrist when performing assisted suicides because a person's 'mental state is .. of paramount importance.'",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_2,"Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_3,"Dignity in Dying supporters argue that the recent trends towards the use of the Dignitas clinic in Switzerland and press stories regarding botched suicides and do-it-yourself advice would be stopped because individuals would know that when and if they wished to finally request an assisted death in the UK, it would be available as arranged.",Anecdotal Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_4,"A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends. ",Study Evidence,Assisted suicide should be a criminal offence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2563356/
evi_0_5,"Writing in 2005 about another bill on the topic introduced by Lord Joffe, the House of Lords Assisted Dying for the Terminally Ill Bill Committee summarised the debate in this way: The [Joffe] bill is founded on the principle of personal autonomy. Its supporters believe that terminally ill people should have the right, subject to prescribed safeguards, to have medical assistance to die in the same way that patients, whether or not terminally ill, already have the right to refuse life-prolonging treatment.",Expert Evidence,Assisted suicide should be a criminal offence,https://lordslibrary.parliament.uk/assisted-dying-bill-hl/
evi_0_6,"The campaign group Dignity in Dying, of which Baroness Meacher is chair, has argued that current law contains no safeguards to protect dying people who want to control their death. It states that around 350 Britons have now travelled to Switzerland to end their life, at a cost of around £10,000 each. Dignity in Dying argues that many of these people travel before they are ready to die, because they are afraid of becoming too weak to make the journey. In theory, those that accompany them could face up to 14 years imprisonment. ",Expert Evidence,Assisted suicide should be a criminal offence,https://lordslibrary.parliament.uk/assisted-dying-bill-hl/
evi_0_7,"The ethical arguments for physician-assisted suicide and euthanasia, advocates of euthanasia have maintained, do not apply to euthanasia only when it is voluntary; they can also be used to justify some kinds of nonvoluntary euthanasia of the incompetent.",Anecdotal Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_8,"In early 2014, a New Mexico Second District Judge Nan Nash ruled that terminally ill patients have the right to aid in dying under the state constitution, i.e. making it legal for a doctor to prescribe a lethal dose of medication to a terminally ill patient.",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_2,"Dignity in Dying also outline how they go about their campaign: .   They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_9,Those who witness others die are 'particularly convinced' that the law should be changed to allow assisted death.,Anecdotal Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_10,"Stevens also rejected the argument, raised by the petitioners, that permitting physician-assisted suicide would taint the perception of the doctor/patient relationship. In some cases, he argued, a doctor's refusal to hasten death could be perceived as an act contrary to the doctor's role of healer.",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_11,"It states that euthanasia and physician-assisted suicide are not punishable if the attending physician acts in accordance with criteria of due care. These criteria concern the patient's request, the patient's suffering (unbearable and hopeless), the information provided to the patient, the absence of reasonable alternatives, consultation of another physician and the applied method of ending life.",Anecdotal Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_12,"Indeed, studies from parts of the world that have legalised assisted suicide report that many plans put in place for an early death are not taken up as people end up dying naturally, with the peace of mind brought about by knowing that an assisted death was available if pain and suffering had got too much.",Study Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_13,"In early 2014, a New Mexico Second District Judge Nan Nash ruled that terminally ill patients have the right to aid in dying under the state constitution, i.e. making it legal for a doctor to prescribe a lethal dose of medication to a terminally ill patient.",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_14,"In physician-assisted suicide (also called physician aid-in-dying or PAD) a physician knowingly provides a competent but suffering patient, upon the patient's request, with the means by which the patient intends to end his or her own life. Assisted suicide is contrasted with 'active euthanasia' when the difference between providing the means and actively administering lethal medicine is considered important.",None Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_15,"In Washington v. Glucksberg (1997), a group of Washington residents asserted that a state law banning assisted suicide was unconstitutional on its face.",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_16,"In 2002, the Netherlands passed a law legalizing euthanasia including physician-assisted suicide. This law codifies the twenty-year-old convention of not prosecuting doctors who have committed euthanasia in very specific cases, under very specific circumstances.",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_17,"Dame Joan Bakewell, the British government's 'Voice of Older People', said that the current British law on assisted suicide was 'a mess' and that Nitschke should have been made more welcome in the UK.",Expert Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_18,The use of Advanced Decisions can help significantly but they also believe that if a right to an Assisted Death is available then the very knowledge of this fact can alleviate many of the worries an individual might have.,Anecdotal Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
evi_0_9,Those who witness others die are 'particularly convinced' that the law should be changed to allow assisted death.,Anecdotal Evidence,Assisted suicide should be a criminal offence,https://research.ibm.com/haifa/dept/vst/debating_data.shtml
