Topic,Argument,Evidence_1,Evidence_2,Label
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"For example, Swiss law allows assisted suicide while all forms of active euthanasia (like lethal injection) remain prohibited.","Assisted suicide is when one individual helps another bring about their own death indirectly via providing either advice or the means to the end. This is in contrast to euthanasia, where another person takes a more active role in bringing about a person's death.",1.0
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"For example, Swiss law allows assisted suicide while all forms of active euthanasia (like lethal injection) remain prohibited.","The efficiency of homeschooling – and the fact that you don’t have to follow the national curriculum or the typical timings of a school day – leaves you with time to spend broadening your child’s learning. You can make time for play, projects, real experiments, and the arts. Real-life skill building – including cooking, cleaning, volunteering, and learning to budget – could form a part of your school day. You could also choose to learn in different places, like museums, parks, and science centres.",1.0
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"For example, Swiss law allows assisted suicide while all forms of active euthanasia (like lethal injection) remain prohibited.","The patient must be an adult and in a 'futile medical condition of constant and unbearable physical or mental suffering that cannot be alleviated'. The patient must have a long-term history with the doctor, with euthanasia/physician-assisted suicide only allowed for permanent residents. ",0.0
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"In an appearance on Fox News Sunday television show, Towey charged that the booklet was authored by an advocate of assisted suicide, and that it was being used to give 'end of life' counseling to soldiers returning from Iraq and Afghanistan.","The efficiency of homeschooling – and the fact that you don’t have to follow the national curriculum or the typical timings of a school day – leaves you with time to spend broadening your child’s learning. You can make time for play, projects, real experiments, and the arts. Real-life skill building – including cooking, cleaning, volunteering, and learning to budget – could form a part of your school day. You could also choose to learn in different places, like museums, parks, and science centres.",1.0
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"In closing, the Court said that it fully rejected the respondents' argument that the statutory difference between assisted suicide and refusing lifesaving treatment was 'arbitrary' and 'irrational.'","The efficiency of homeschooling – and the fact that you don’t have to follow the national curriculum or the typical timings of a school day – leaves you with time to spend broadening your child’s learning. You can make time for play, projects, real experiments, and the arts. Real-life skill building – including cooking, cleaning, volunteering, and learning to budget – could form a part of your school day. You could also choose to learn in different places, like museums, parks, and science centres.",1.0
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"The patient must be an adult and in a 'futile medical condition of constant and unbearable physical or mental suffering that cannot be alleviated'. The patient must have a long-term history with the doctor, with euthanasia/physician-assisted suicide only allowed for permanent residents. ","In an appearance on Fox News Sunday television show, Towey charged that the booklet was authored by an advocate of assisted suicide, and that it was being used to give 'end of life' counseling to soldiers returning from Iraq and Afghanistan.",1.0
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"The patient must be an adult and in a 'futile medical condition of constant and unbearable physical or mental suffering that cannot be alleviated'. The patient must have a long-term history with the doctor, with euthanasia/physician-assisted suicide only allowed for permanent residents. ","In closing, the Court said that it fully rejected the respondents' argument that the statutory difference between assisted suicide and refusing lifesaving treatment was 'arbitrary' and 'irrational.'",1.0
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"The patient must be an adult and in a 'futile medical condition of constant and unbearable physical or mental suffering that cannot be alleviated'. The patient must have a long-term history with the doctor, with euthanasia/physician-assisted suicide only allowed for permanent residents. ","The efficiency of homeschooling – and the fact that you don’t have to follow the national curriculum or the typical timings of a school day – leaves you with time to spend broadening your child’s learning. You can make time for play, projects, real experiments, and the arts. Real-life skill building – including cooking, cleaning, volunteering, and learning to budget – could form a part of your school day. You could also choose to learn in different places, like museums, parks, and science centres.",1.0
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,"The report also stated that Kevorkian failed to refer at least 17 patients to a pain specialist after they complained of chronic pain, and sometimes failed to obtain a complete medical record for his patients, with at least three autopsies of suicides Kevorkian had assisted with showing the person who committed suicide to have no physical sign of disease.","In an appearance on Fox News Sunday television show, Towey charged that the booklet was authored by an advocate of assisted suicide, and that it was being used to give 'end of life' counseling to soldiers returning from Iraq and Afghanistan.",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends. ","The campaign group Dignity in Dying, of which Baroness Meacher is chair, has argued that current law contains no safeguards to protect dying people who want to control their death. It states that around 350 Britons have now travelled to Switzerland to end their life, at a cost of around £10,000 each. Dignity in Dying argues that many of these people travel before they are ready to die, because they are afraid of becoming too weak to make the journey. In theory, those that accompany them could face up to 14 years imprisonment. ",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends. ","Writing in 2005 about another bill on the topic introduced by Lord Joffe, the House of Lords Assisted Dying for the Terminally Ill Bill Committee summarised the debate in this way: The [Joffe] bill is founded on the principle of personal autonomy. Its supporters believe that terminally ill people should have the right, subject to prescribed safeguards, to have medical assistance to die in the same way that patients, whether or not terminally ill, already have the right to refuse life-prolonging treatment.",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"Dignity in Dying also outline how they go about their campaign: .   They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends. ",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"Dignity in Dying also outline how they go about their campaign: .   They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","Dignity in Dying supporters argue that the recent trends towards the use of the Dignitas clinic in Switzerland and press stories regarding botched suicides and do-it-yourself advice would be stopped because individuals would know that when and if they wished to finally request an assisted death in the UK, it would be available as arranged.",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends. ",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","Dignity in Dying supporters argue that the recent trends towards the use of the Dignitas clinic in Switzerland and press stories regarding botched suicides and do-it-yourself advice would be stopped because individuals would know that when and if they wished to finally request an assisted death in the UK, it would be available as arranged.",1.0
