topic_id,topic,stance,setting,model_id,ranking
1,Assisted suicide should be a criminal offence,-1,best_golden,1,5
1,Assisted suicide should be a criminal offence,-1,best_golden,2,4
1,Assisted suicide should be a criminal offence,-1,best_golden,3,1
1,Assisted suicide should be a criminal offence,-1,best_golden,4,6
1,Assisted suicide should be a criminal offence,-1,best_golden,5,2
1,Assisted suicide should be a criminal offence,-1,best_golden,6,3
1,Assisted suicide should be a criminal offence,-1,all_baseline,7,5
1,Assisted suicide should be a criminal offence,-1,all_baseline,8,1
1,Assisted suicide should be a criminal offence,-1,all_baseline,9,6
1,Assisted suicide should be a criminal offence,-1,all_baseline,10,2
1,Assisted suicide should be a criminal offence,-1,all_baseline,11,4
1,Assisted suicide should be a criminal offence,-1,all_baseline,12,3
1,Assisted suicide should be a criminal offence,-1,all_golden,13,6
1,Assisted suicide should be a criminal offence,-1,all_golden,14,1
1,Assisted suicide should be a criminal offence,-1,all_golden,15,2
1,Assisted suicide should be a criminal offence,-1,all_golden,16,5
1,Assisted suicide should be a criminal offence,-1,all_golden,17,3
1,Assisted suicide should be a criminal offence,-1,all_golden,18,4
1,Assisted suicide should be a criminal offence,-1,best_baseline,19,6
1,Assisted suicide should be a criminal offence,-1,best_baseline,20,1
1,Assisted suicide should be a criminal offence,-1,best_baseline,21,2
1,Assisted suicide should be a criminal offence,-1,best_baseline,22,3
1,Assisted suicide should be a criminal offence,-1,best_baseline,23,5
1,Assisted suicide should be a criminal offence,-1,best_baseline,24,4
1,Assisted suicide should be a criminal offence,-1,top2_baseline,25,6
1,Assisted suicide should be a criminal offence,-1,top2_baseline,26,1
1,Assisted suicide should be a criminal offence,-1,top2_baseline,27,3
1,Assisted suicide should be a criminal offence,-1,top2_baseline,28,5
1,Assisted suicide should be a criminal offence,-1,top2_baseline,29,2
1,Assisted suicide should be a criminal offence,-1,top2_baseline,30,4
1,Assisted suicide should be a criminal offence,-1,top2_golden,31,6
1,Assisted suicide should be a criminal offence,-1,top2_golden,32,4
1,Assisted suicide should be a criminal offence,-1,top2_golden,33,2
1,Assisted suicide should be a criminal offence,-1,top2_golden,34,5
1,Assisted suicide should be a criminal offence,-1,top2_golden,35,1
